# Exponential Sum S(1,p) = sum_{n=0}^{p-1} e(Q(n)/p) for bad primes
# Q(n) = n^47 - (n-1)^47
# Bad primes: p ≡ 1 (mod 47), range [283, 6299]
# Hasse-Weil bound: |S| ≤ 46*sqrt(p)
# Source: Evidence 8.1 and Table in Section 8.3.1
Prime_p,Abs_S,HW_Bound_46sqrtp,Ratio_AbsS_over_sqrtp,Safety_Margin_Percent
283,145.45,773.84,8.65,81.2
659,35.40,1180.87,1.38,97.0
941,36.29,1411.08,1.18,97.4
1129,75.40,1545.63,2.24,95.1
1223,67.76,1608.69,1.94,95.8
1693,26.98,1892.72,0.66,98.6
1787,128.48,1944.55,3.04,93.4
2069,60.98,2092.37,1.34,97.1
2351,115.35,2230.41,2.38,94.8
2539,57.67,2317.87,1.14,97.5
2633,18.53,2360.39,0.36,99.2
3761,58.90,2821.04,0.96,97.9
4231,112.67,2992.12,1.73,96.2
4513,137.25,3090.23,2.04,95.6
4889,155.55,3216.38,2.22,95.2
5077,91.75,3277.64,1.29,97.2
5171,155.20,3307.84,2.16,95.3
5641,212.94,3454.90,2.84,93.8
5923,187.35,3540.21,2.43,94.7
6299,187.70,3650.85,2.37,94.9
